,context_segment_text,page_level_lookup_index,batch
10,Hur bokar jag frakt med PostNord?,5,0
11,"Fraktsedeln skickas till dig med e-post när du bokat frakt via PostNord. Du behöver inte ha tillgång till en skrivare då alla PostNords ombud har möjlighet att skriva ut fraktsedeln åt dig.Du behöver däremot kunna betala för frakten via internet.Så här gör du för att boka frakt med PostNord:Gå till ""Sålda"" i menyn och därefter på Boka frakt-knappen i blått till höger.Gå därefter igenom nedanstående tre steg:Kontrollera uppgifternaKontrollera uppgifterna för att se att mottagarens adress stämmer.Välj paketstorlekFyll i pakettyp. Tänk på att välja rätt storlek. Väger paketet mer än det paket du valt kommer du som säljare att bli debiterad mellanskillnaden i efterhand. Denna avgift kommer på en separat faktura från PostNord.Betala bokningKlicka på ”Boka frakt”. Välj betalsätt och tryck på ”Betala”. Du kan betala med Swish eller kortbetalning.Här kan du läsa mer om fraktbokning med PostNord.",5,0
12,Vad gör jag när jag har fått betalt?,6,0
13,När du mottagit betalningen är det dags att boka frakt och skicka varan. När du väl skickat varan är det alltid en bra idé att kontakta köparen och meddela detta så att köparen är med på noterna.När varan är levererad har du möjlighet att lämna omdöme på affären via Sålda listan. Ett omdöme ska spegla hur affären har gått.Läs mer om hur du lämnar ett omdöme här!,6,0
14,Hur ändrar jag i en pågående annons?,7,0
15,"Klicka på ”Ändra”, som du ser längst upp till höger om annonsen. Genomför dina förändringar och klicka på spara.Du kan inte ändra i en auktion som har fått bud. Då kan du istället göra ett texttillägg.Gå in på Aktiva annonser Klicka dig in på annonsen Klicka på ""Ändra""När annonsen har bud kan du bara utöka området du säljer i.",7,0
16,Hur startar jag en tvist?,8,0
17,Tvist - TraderaOm du valt till köparskydd eller betalat med Paynova och inte mottagit varan eller om varan skiljer sig markant från beskrivningen har du möjlighet att starta en tvist. Klicka på ”Mer”-fliken vid berörd annons och välj ”Anmäl utebliven vara”.Därifrån kan du skapa en tvist. Första steget i en tvist är alltid att du och säljaren får chansen att lösa ärendet tillsammans. De flesta problem kan snabbt lösas när köpare och säljare har direktkontakt med varandra. Meddelanden man skriver i tvisten skickas till säljaren som uppmanas att svara på dem. Om ni inte hittar en lösning tillsammans eller om säljaren inte svarar har du möjlighet att eskalera tvisten till Tradera. Då tar Tradera över hanteringen av ärendet och beslutar i tvisten. Tidsfristen på en eskalerad tvist kan vara upp till 14 dagar.Tvisten kan startas inom 30 dagar från att annonsen avslutades.Tvist - KlarnaFör att starta en tvist hos Klarna så behöver du logga in på din Klarna app. Tvist - PayPalOm du betalat med PayPal behöver du logga in på ditt PayPal konto för att starta en tvist.Du kan läsa mer om hur en tvist fungerar här.,8,0
18,Hur bokar jag frakt med DHL?,9,0
19,"Klicka på Sålda i menyn och därefter på Boka frakt-knappen i blått till höger. Gå därefter igenom nedanstående fyra steg:Kontrollera uppgifternaKontrollera uppgifterna för att se att mottagarens adress stämmer.Välj pakettypVälj sedan bland de alternativ som DHL erbjuder.UtlämningsställeAdressuppgifterna hämtas från ditt köp. Klicka på ”Välj ett DHL-ombud” och markera det ombud du vill skicka till.Bekräfta bokningenKlicka på ”lägg i varukorg” för att slutföra bokningen. Välj betalsätt och betala frakten, alternativt välj att du betalar hos ombudet. Du ser sedan en bekräftelse på att din bokning av frakt är genomförd. Du får även en bekräftelse skickad till din e-postadress. Skriv ut bekräftelsen (streckkoden måste vara med) och ta med den till ditt DHL-ombud. Har du inte tillgång till en skrivare går det också bra att ange sändningsnumret när du lämnar in försändelsen.",9,0
20,Jag har fått mejl om att ni stängt min annons. Vilken gäller det?,10,0
21,"När din annons eller dina annonser avslutas informerar vi dig per mejl med mer information om regelbrottet. I ”Ej sålda” listan hittar du dina avslutade annonser, de är markerade med statusen ”Avstängd”.",10,0
22,Jag har inte fått min vara,11,0
23,"Det händer mycket sällan att brev eller paket inte kommer fram till mottagaren. Skulle du sakna en leverans trots att betalningen är genomförd – kontakta alltid säljaren så att ni tillsammans kan reda ut vad som kan ha hänt.Kontrollera att din betalning nått fram till säljaren. Dubbelkolla också att säljaren fått rätt adressuppgifter till dig.När du handlar av en privatperson så ligger ansvaret för att en inlämnad försändelse levereras till angiven adress hos speditören. När säljaren postat brevet eller lämnat in paketet har denne fullgjort sin del av avtalet. Tradera rekommenderar att man använder sig av spårbara försändelser med kollinummer eller inlämningskvitto för att kunna påvisa att varan lämnats till speditören. Om så är fallet kan du alltid söka efter leveransen hos den aktuella speditörens hemsida.Har du köpt av en näringsidkare? Då ligger ansvaret på att varan kommer fram rätt på säljaren. I ett sådant fall kan du vända dig till Konsumentverket för att driva ärendet vidare.Kontakt med säljaren görs med fördel över telefon för att undvika missförstånd. Du hittar säljarens kontaktuppgifter i Mina köp.I Mitt Tradera har du även möjlighet att lämna en anmälan om utebliven leverans under ”Mer”-fliken vid berörd annons. Välj alternativ ”Anmäl utebliven vara”.Har du använt ett av våra integrerade betalningsalternativ med köpskydd har du även möjlighet att anmäla försändelsen som försvunnen, samt ansöka om återbetalning.",11,0
24,Jag får inte kontakt med säljaren,12,0
25,"Om du efter avslutad annons inte får kontakt med säljaren rekommenderar vi först och främst att du provar att ta kontakt via Traderameddelande. Du kan även hitta säljarens uppgifter i Mina köp. Klicka på ”Fler alternativ” och välj ”Visa orderbekräftelse”.Får du inte kontakt med säljaren varken via meddelande, telefon eller e-post inom en rimlig tid kan detta ge dig som köpare rätt att avstå från köpet. Kontakta gärna vår Kundservice om du har vidare funderingar.",12,0
26,Hur ändrar jag mina uppgifter på kontot?,13,0
27,"Du ändrar dina registrerade uppgifter inne på Inställningar.Där kan du bland annat ändra mejladress, namn, användarnamn, telefonnummer, lösenord samt adress.",13,0
28,Hur hittar jag köparens uppgifter om jag tappat bort vinnarmejlet?,14,0
29,Du hittar adressuppgifter via Sålda. För att sedan se mejladress och telefonnummer klickar du på medlemmens alias.,14,0
30,Hur lämnar jag ett omdöme?,15,0
31,"Du lämnar omdöme inne på Sålda eller Mina köp. Klicka på ”Lämna omdöme”, välj Positivt eller Negativt, skriv en kommentar och betygsätt gärna din motpart enligt de staplar som syns.Tänk på att du inte kan ändra ett lagt omdöme.",15,0
32,Jag har inte fått kontakt med köparen,16,0
33,Vi rekommenderar dig att ta kontakt med köparen via vår meddelandefunktion. Du hittar köparens uppgifter i Sålda listan - Visa orderbekräftelse. För en trevlig dialog med köparen och kom fram till en gemensam lösning som passar båda.Om du inte får någon kontakt och att affären därför inte slutförs kan du anmäla utebliven betalning så krediteras avgiften automatiskt och köparen blir anmäld till Tradera. ,16,0
34,Hur avbryter jag en aktiv annons?,17,0
35,"Om du inte fått bud eller om reservationspriset inte uppnåtts kan du avbryta annonsen själv via Aktiva – Mer – Avbryt annons.Har du fått bud behöver vi få in både ditt och högsta budgivarens godkännande för att stänga annonsen. Du kan kontakta högsta budgivaren genom att klicka här. Välj sedan ""Mer"" vid annonsen och ""Kontakta högsta budgivare"". Både du och köparen behöver sedan inkomma med ert godkännande till vår kundservice.Kostnaden för eventuella tillval kommer debiteras även om du avbryter annonsen.",17,0
36,Vad händer när en avgift krediteras?,18,0
37,"Krediteras en avgift innan fakturan har skapats kommer denna fortfarande att stå med på fakturaspecifikationen, däremot kommer det även att finnas en kreditpost som avser den krediterade avgiften i specifikationen. Avgifter som krediterats innan fakturering kommer att betalas ut via ditt Saldo på Tradera och du hittar dem under Betalningar &amp; Avgifter.Om en avgift som finns på en faktura krediteras kommer beloppet du ska betala att uppdateras inom några minuter. Du får ingen ny faktura utan kan istället utgå från beloppet under ”Att betala” inne på Fakturor – Mina fakturor.Klickar du på ”Visa faktura” kommer din originalfaktura visas. Denna visar beloppet som fakturan avsåg vid tiden den skapades. Betalar du originalbeloppet på din faktura kommer avgiften som krediterats hamna som ett tillgodobelopp till nästkommande faktura.",18,0
38,Hur gör jag för att spärra en medlem från att buda på mina auktioner?,19,0
39,Under inställningar anger du alias på den medlem du vill blockera från framtida budgivning och väljer ”Spärra budgivare”.Klicka här för att komma direkt till dina inställningar.,19,0
40,Hur svarar jag på en tvist som säljare?,20,0
41,Du kan svara på en aktiv tvist genom meddelande funktionen på siten. Vid berörd annons anges mer information om den aktiva tvisten. Är ditt konto avstängt kan du svara på en aktiv tvist via länken i mejlet du mottagit. Har du inte mottagit mejlet rekommenderar vi att du kollar din skräppost eller kontaktar vår kundservice. I tvistkommunikationen kan du bifoga begärt underlag eller annat underlag som motbevisar din motpart i tvisten. Har du problem med att bifoga underlag så kan du gå in på våra hjälpsidor och skicka in underlaget här.,20,0
42,Vad händer om köparen vill göra en retur av varan?,21,0
43,Du kan annullera ordern via Sålda listan genom att klicka på ”Mer” och väljer ”Annullera order” eller ”Ge rabatt”.Om köparen har betalat med Paynova så kommer återbetalningen hanteras av Paynova och en faktura på det återbetalade belopp kommer att skickas till dig. ,21,0
44,Jag har inte fått mitt vinnarmejl,22,0
45,"Du har alltid tillgång till samma information som finns i vinnarmejl inne på Mina köp eller Sålda. Vid den aktuella auktionen, klicka på ”Mer” och välj ”Visa orderbekräftelse”.Har du rätt e-postadress angiven på ditt konto? Detta kontrollerar du via Inställningar.Om rätt adress är angiven beror uteblivet vinnarmejl oftast på dina inställningar för skräppost i din e-postklient. Kontrollera gärna papperskorgen så att det inte hamnat där. Om du trots allt inte hittar vinnarmejlet kan du behöva justera dina inställningar för skräppost. Lägg gärna till våra domäner @tradera.com och @tradera.se som betrodda avsändare.",22,0
46,Jag misstänker att någon obehörig kommit åt mitt konto,23,0
47,"Om du misstänker att ditt konto används av någon obehörig rekommenderar vi att du omgående byter lösenord på ditt konto. Använd sedan funktionen ""Logga ut alla sessioner"" som du hittar i Inställningar för att logga ut eventuella obehöriga från ditt konto.Kontakta därefter vår kundservice så hjälper vi dig att återställa ditt konto. Du kan nå oss snabbast via chatt eller telefon, om kundservice är stängd kan du också kontakta oss via abuse@tradera.com.",23,0
48,Hur betalar jag min faktura till Tradera?,24,0
49,"Du kan betala din faktura på flera sätt. Gå till Fakturor och klicka på Betala. Där kan du betala fakturan med Swish, eller kort, följ bara instruktionerna för respektive betalsätt och tryck på ""Betala"". Du kan även betala fakturan direkt via Plusgiro. PlusGiro: 487 27 04-4 , ställt till Tradera Sweden AB.Tänk på att ange korrekt OCR-nummer när du betalar din faktura. OCR-nummer/fakturanummer hittar du längst upp till höger på din faktura samt via FakturorDet kan ta upp till fem bankdagar innan din betalning registrerats hos oss. For foreign users:You can pay your invoice via Tradea in Invoice and click on Pay. There you can pay your invoice via Swish or Card. Pick your preferred payment option, enter your payment information and click on Pay. You can also pay to Traderas bank account – PlusGiro:Bank account number: 9960 344872 7044Swift-adress/BIC: NDEASESSIBAN no: SE92 9500 0099 6034 4872 7044 Remember to always enter the OCR number in the payment message when you make a manual payment. You can find the OCR number for your invoice in the upper right corner on the PDF invoice and in the Invoices page.",24,0
50,Hur fungerar Traderabetalning?,25,0
51,"Med Traderabetalning väljer din köpare själv att betala med Swish, kort, Klarna, Paynova, Google/Apple Pay eller PayPal. Vi sätter alltid in dina pengar på ditt bankkonto. Du behöver själv varken kortbetalning eller PayPal-konto. Vi sköter alla betalsätt åt dig och påminner köparen automatiskt om betalningen dröjer mer än 3 dagar, utan kostnad för dig. Avgifter för att ta emot betalning står vi för och du betalar inget extra.Det bankkonto du vill få dina pengar utbetalda till registrerar du på Betalningar &amp; Avgifter. Du kommer då att få verifiera dig med BankID. Oavsett hur köparen väljer att betala kommer du att få betalningen till ditt registrerade bankkonto 1-2 bankdagar efter genomförd betalning.Du får alltid ett bekräftelsemejl från oss när köparen har betalat. Objektet markeras även automatiskt som betalt i Sålda.",25,0
52,Kan Tradera ta bort ett omdöme?,26,0
53,"Vi kan endast ta bort ett negativt omdöme om vi får ett godkännande från personen som lämnat det, alternativt att omdömet strider mot våra omdömesregler. Eftersom vi inte har insyn i affärerna efter det att de har avslutats på Tradera kan vi inte ta ställning för eller emot en annan medlem.För att komma i kontakt med den medlem du mottagit ett omdöme från kan du använda de kontaktuppgifter som finns i det vinnarmejl du tidigare mottagit. För att ta bort ett positivt omdöme behöver vi ett godkännande från båda parter i affären.",26,0
54,Obligatoriskt BankID,27,0
55,"Under våren 2023 blir BankID obligatoriskt för alla svenska privatkonton på Tradera.Majoriteten av alla konton är redan verifieriade med BankID. Denna förändring påverkar endast användare som verifierar sig på annat sätt. Q: Varför gör ni denna ändring?A: På grund av kommande ändringar i vår betalningstjänst kan vi inte längre erbjuda andra verifieringsalternativ.Q: Vilken typ av BankID rekommenderar ni?A: Vi rekommenderar att du använder ett Mobilt BankID.Q: Jag får upp en ruta om att jag behöver verifiera mitt personnummer?A: På vissa äldre konton behöver vi verifiera personnumret. Skriv in ditt personnummer i rutan som dyker upp på Tradera och signera med BankID. Om du fått denna uppmaning har du till den 31/3 2023 på dig att fylla i uppgifterna för att kunna fortsätta använda kontot. Q: Hur skaffar jag BankID?A: Det är enkelt att skaffa BankID, logga in på din internetbank för att läsa mer eller kontakta din bank.Genomför aldrig en BankID-verifiering på uppmaning av någon som kontaktar dig. Verifiera endast när det är du som initierar en åtgärd. Blir du osäker, säkerställ att du är på www.tradera.com eller kontakta kundservice",27,0
56,DAC7 - FAQ,28,0
57,"Vad är DAC7?DAC7 är ett EU-direktiv som ändrar reglerna kring delning av uppgifter om inkomst från försäljning på nätet. Denna ändring påverkar alltså inte enbart Tradera utan gäller för marknadsplatser med användare bosatta inom EU.Tidigare var delandet av uppgifter reaktiv, marknadsplatser har varit skyldiga att dela med sig av uppgifter om försäljning på skatteverkets begäran. Efter att DAC7 infördes blir delningen proaktiv, detta innebär att vi skickar underlag för alla som sålt fler än 30 varor (upplagda varor som ej sålts räknas inte) eller fått mer än 2000 Euro utbetalt under ett år. Innebär detta någon ändring i min skatteplikt?Ändringen påverkar endast delning av kontrolluppgifter. Det sker ingen förändring i om eller hur mycket du behöver skatta.Om du är osäker på om du behöver skatta för din försäljning eller behöver personlig rådgivning kring din skatt så rekommenderar vi att du hör av dig till Skatteverket för att få ett tillförlitligt svar eller gå in på Skatteverkets FAQ om DAC7Vilka uppgifter delar Tradera med Skatteverket?I de fall marknadsplatsen är skyldig att lämna ut uppgifter till Skatteverket kommer följande uppgifter att delas:Uppgifter om säljarens identitet som t.ex. personnummer, namn, adress och landAntal transaktioner och värdet på dessaAvgifter som vi debiterat, exempelvis provisionsavgift, tillval och uppläggningsavgifterVilket kontonummer/PayPal konto som pengarna betalats ut tillHur ofta delas uppgifterna till Skatteverket?Vi delar uppgifter 1 gång per år. Första tillfället blir i januari 2024. Vi kommer att informera dig om vilka uppgifter som vi har lämnat till Skatteverket.Läs mer om förändringarna hos Skatteverket:",28,0
58,Nu lanserar vi PostNord spårbara paket till ombud,29,0
59,"Nu har Tradera och PostNord påbörjat lanseringen av ett nytt och billigare spårbart paket. Det gör att du kan skicka spårbara paket till ombud. Precis som innan väljer du frakt när du skapar din annons och efter försäljningen bokar du enkelt frakt i Traderas app. Scanna koden hos ombudet och så är allt klart. Vad är max storlek på försändelsen?Max storlek är ungefär som måttet av en skokartong (15 cm x 20 cm x 35 cm). Vad kostar det?Du hittar alltid fraktpriserna på https://www.tradera.com/fraktÄr paketet försäkrat?Nej, det är ingen försäkring men PostNord har ansvar för leveransen. Däremot kan du få ersättning om något går fel, ersättningen är upp till 5000 kr men kräver att du följer tjänstevillkoren. Hur skiljer sig det paket från Skicka Lätt? Paketet är något mindre i storlek än Skicka Lätt vilket medför ett lägre pris som PostNord och Tradera tagit fram exklusivt för Tradera-användare. Paketet innefattar dessutom moms vilket är en positiv nyhet för alla företagare på Tradera. Vad händer om jag skickar utomlands?För utländska köpare blir det i nuläget närmaste motsvarande produkt, Spårbart brev utrikes eller postpaket utrikes. Vi arbetar med att kunna erbjuda en ny billigare spårbar fraktprodukt till fler länder inom EU. Mer information om denna kommer efter sommaren.Är du företag? Då är det ännu billigare, då priserna är inklusive moms.",29,0
60,Klarna Resell,30,0
61,"Vad är Klarna Resell?Klarna Resell är en funktion i Klarna appen som gör det enklare för dig att sälja vidare en vara som du köpt med Klarna. Annonser som skapas på detta sätt får med en produktbild samt en beskrivning på varan.Behöver jag lägga till något i en annons skapad med Klarna Resell?Du behöver lägga till fraktsätt och pris men vi rekommenderar även att du beskriver skicket på varan samt lägger till egna bilder, speciellt om den inte längre är i nyskick när du säljer den. Du som säljare ansvarar för att varan du säljer beskrivs på ett korrekt sätt.Om du säljer vidare en oanvänd vara så är det även bra att ta med det i beskrivningen då det kan ha en positiv påverkan på slutpriset.Hur använder jag Klarna Resell?Leta upp varan du vill sälja i Klarnas appTryck på ""Sälj vidare""Korrigera och publicera annonsenKlart, nu är det bara att vänta på första budetJag får inte fram knappen ""Sälj vidare"" på min vara i Klarna appen?Första steget är att kontrollera så att du har den senaste versionen av appen, detta gör du enkelt genom att gå in i app affären på din telefon, sök sedan på Klarna så kommer du se om det finns någon uppdatering att ladda hem. Det finns även vissa varor som inte går att sälja vidare via Klarna appen, exempelvis Livsmedel, Tobak, Alkohol, Lotter, Biljetter, Presentkort m.m.Du kan läsa mer om Klarna Resell här",30,0
62,Vad är ett digitalt frimärke?,31,0
63,"Ett digitalt frimärke är en kod som du skriver på brevet du ska skicka. Det har samma mått och viktbestämmelser som vanliga frimärken och därmed samma pris.Hur skickar jag med digitalt frimärke?Välj ""Frimärke/Digitalt frimärke"" när du skapar annonsenKlicka på knappen ""Till frakt &amp; porto"" från sålda listan när varan är såldBetala för frimärket med valfritt betalmedelSen är det bara att skriva koden med mörk penna i brevets högra hörn. Du skriver koden i 3 rader med 4 tecken på varje rad. Mottagarens adress skriver du precis som med vanliga frimärken direkt på brevet.Kan jag fortfarande skicka med ett vanligt frimärke?Självklart kan du det! Då väljer du ""Frimärke/Digitalt frimärke"" när du skapar annonsen men istället för att gå ""Till frakt &amp; porto"" så markerar du varan som skickad på knappen eller från mer-menyn.",31,0
64,Vilken valuta får jag betalt i?,32,0
65,Oavsett vilken valuta du har inställt på Tradera så får du betalt för dina försäljningar i SEK. När köpare budar i sin valuta konverteras det automatiskt till ett belopp i SEK. Köpare har möjlighet att se budhistoriken både i sin egna valuta och i SEK. Växelkursen uppdateras löpande från European Central Bank. Det konverterade beloppen som visas kan därför ändras från dag till dag. Ex 100 DKK kan imorgon visas som 101 DKK för köparen.Bra att veta! Om en köpare betalar i annan valuta än SEK från utlandet lägger banken på en växlingsavgift på ca 1-3%. Därför överensstämmer inte alltid summan på deras bankutdrag med summan på Tradera.,32,0
66,Vad får jag sälja och inte sälja?,33,0
67,"På Tradera kan du finna allt möjligt till salu. Vi har dock vissa regler och begränsningar på vad som får säljas och inte, baserat på bland annat befintlig lagstiftning. Här kan du läsa mer om objekt du inte får sälja på Tradera.",33,0
68,Vad är en fastprisannons?,34,0
69,"En fastprisannons är en annons som enbart har ett fast pris och man kan alltså inte lägga bud på den, utan man kan enbart köpa den direkt.Det går heller inte att välja hur lång en fastprisannons ska vara. Den ligger uppe i 30 dagar, eller tills den blir såld.Du kan hitta mer information om våra annonsformat här!",34,0
70,"Jag har fått ett meddelande om att verifikation krävs för att hantera utbetalningar, vad innebär det?",35,0
71,"För att få fortsätta hantera utbetalningar till ditt konto efter att du passerat 2500 Euro under ett kalenderår så krävs det en verifikation av ditt konto, detta är på grund av EU´s PSD2 direktiv.Så fort verifikationen har godkänts så kommer vi hantera dina utbetalningar som vanligt igen. Du kan läsa mer om hur du får ditt konto verifierat här",35,0
72,Ångrat bud,36,0
73,"Om du leder budgivningen på auktionen så behöver vi få in båda parters godkännande på att ta bort budet, då bud på Tradera alltid är bindande.Du kan kontakta säljaren via Traderameddelande för att få ett godkännande att ta bort budet, vi godkänner endast borttagning av bud om ni antingen fått ett godkännande via Traderameddelande eller att säljaren hör av sig till vår kundservice och godkänner. Ett godkännande via SMS, Samtal eller E-post räcker alltså inte och vi kommer inte att kunna ta bort ett bud baserat på ett sådant underlag.Efter att du fått ok från säljaren kan du kontakta vår kundservice så hjälper vi dig att ta bort budet. Vill du veta hur man avbryter ett redan genomfört köp? Läs mer här.",36,0
74,Vad innebär de olika tillvalen på säljsidan?,37,0
